Country name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;;;;;
Finland;Western Europe;7.842;32;7.904;7.780;10.775;954;72.000;949;-98;186;2.430;1.446;1.106;741;691;124;481;3.253;;;;;;
Denmark;Western Europe;7.620;35;7.687;7.552;10.933;954;72.700;946;30;179;2.430;1.502;1.108;763;686;208;485;2.868;;;;;;
Switzerland;Western Europe;7.571;36;7.643;7.500;11.117;942;74.400;919;25;292;2.430;1.566;1.079;816;653;204;413;2.839;;;;;;
Iceland;Western Europe;7.554;59;7.670;7.438;10.878;983;73.000;955;160;673;2.430;1.482;1.172;772;698;293;170;2.967;;;;;;
Netherlands;Western Europe;7.464;27;7.518;7.410;10.932;942;72.400;913;175;338;2.430;1.501;1.079;753;647;302;384;2.798;;;;;;
Norway;Western Europe;7.392;35;7.462;7.323;11.053;954;73.300;960;93;270;2.430;1.543;1.108;782;703;249;427;2.580;;;;;;
Sweden;Western Europe;7.363;36;7.433;7.293;10.867;934;72.700;945;86;237;2.430;1.478;1.062;763;685;244;448;2.683;;;;;;
Luxembourg;Western Europe;7.324;37;7.396;7.252;11.647;908;72.600;907;-34;386;2.430;1.751;1.003;760;639;166;353;2.653;;;;;;
Austria;Western Europe;7.268;36;7.337;7.198;10.906;934;73.300;908;42;481;2.430;1.492;1.062;782;640;215;292;2.784;;;;;;
Germany;Western Europe;7.155;40;7.232;7.077;10.873;903;72.500;875;11;460;2.430;1.480;993;757;600;195;306;2.824;;;;;;
Ireland;Western Europe;7.085;40;7.164;7.006;11.342;947;72.400;879;77;363;2.430;1.644;1.092;753;606;238;367;2.384;;;;;;
United Kingdom;Western Europe;7.064;38;7.138;6.990;10.707;934;72.500;859;233;459;2.430;1.423;1.062;757;580;340;306;2.596;;;;;;
Belgium;Western Europe;6.834;34;6.901;6.767;10.823;906;72.199;783;-153;646;2.430;1.463;998;747;489;88;187;2.862;;;;;;
France;Western Europe;6.690;37;6.762;6.618;10.704;942;74.000;822;-147;571;2.430;1.421;1.081;804;536;92;235;2.521;;;;;;
Malta;Western Europe;6.602;44;6.688;6.516;10.674;931;72.200;927;133;653;2.430;1.411;1.055;747;664;275;183;2.268;;;;;;
Spain;Western Europe;6.491;42;6.574;6.408;10.571;932;74.700;761;-81;745;2.430;1.375;1.057;826;462;135;124;2.513;;;;;;
Italy;Western Europe;6.483;45;6.572;6.395;10.623;880;73.800;693;-84;866;2.430;1.393;940;798;379;133;47;2.794;;;;;;
Cyprus;Western Europe;6.223;49;6.319;6.128;10.576;802;73.898;763;-15;844;2.430;1.377;765;801;464;178;61;2.578;;;;;;
Portugal;Western Europe;5.929;55;6.037;5.821;10.421;879;72.600;892;-244;887;2.430;1.323;939;760;621;29;33;2.225;;;;;;
Greece;Western Europe;5.723;46;5.813;5.632;10.279;823;72.600;582;-288;823;2.430;1.273;811;760;243;0;74;2.561;;;;;;
North Cyprus;Western Europe;5.536;51;5.636;5.435;10.576;820;73.898;795;12;626;2.430;1.377;806;801;503;196;200;1.653;;;;;;